"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"FPC1";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"0";"";"";"";
"FPC2";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"0";"";"";"";
"FPC3";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"0";"";"";"";
"FPC4";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"0";"";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"98";"";"";"";
"JP2";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"69";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"98";"";"";"";
"JP4";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"69";"";"";"";
"LED1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";"52";"";"";"";
"LED2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";"52";"";"";"";
"LED3";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";"52";"";"";"";
"LED4";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";"52";"";"";"";
"R1";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"85";"";"";"R";
"R2";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"85";"";"";"R";
"R3";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"85";"";"";"R";
"R4";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"85";"";"";"R";
"SR1";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"In Stock";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"Nexperia";"74HC595";"";"";"";"None";"";"None";"";"";
"SR2";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"In Stock";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"Nexperia";"74HC595";"";"";"";"None";"";"None";"";"";
"SR3";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"In Stock";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"Nexperia";"74HC595";"";"";"";"None";"";"None";"";"";
"SR4";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"In Stock";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"Nexperia";"74HC595";"";"";"";"None";"";"None";"";"";
"SR5";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"In Stock";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"Nexperia";"74HC595";"";"";"";"None";"";"None";"";"";
"SR6";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"In Stock";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"Nexperia";"74HC595";"";"";"";"None";"";"None";"";"";
"SR7";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"In Stock";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"Nexperia";"74HC595";"";"";"";"None";"";"None";"";"";
"SR8";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"In Stock";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"Nexperia";"74HC595";"";"";"";"None";"";"None";"";"";
"U1";"SN74154N";"SN74154N";"DIP254P1080X508-24";"DECODERS/DEMULTIPLEXERS Check availability";"In Stock";" Decoder/Demultiplexer 1 x 4:16 24-PDIP ";"Texas Instruments";"SN74154N";"";"";"";"DIP-24 Texas Instruments";"";"None";"https://pricing.snapeda.com/search?q=SN74154N&ref=eda";"";
"U2";"SN74HC14NSR";"SN74HC14NSR";"SOP127P780X200-14N";"Check availability";"In Stock";" 6-ch, 2-V to 6-V inverters with Schmitt-Trigger inputs ";"Texas Instruments";"SN74HC14NSR";"";"";"";"SOP-14 Texas Instruments";"";"None";"https://pricing.snapeda.com/search?q=SN74HC14NSR&ref=eda";"";
